geo_accession	cell_line	treatment	tissue	dose_nM	time_hours
GSM3238350	HOP-62	topotecan	Lung	0	2
GSM3238351	HOP-62	topotecan	Lung	0	6
GSM3238349	HOP-62	topotecan	Lung	0	24
GSM3238356	HOP-62	topotecan	Lung	10	2
GSM3238357	HOP-62	topotecan	Lung	10	6
GSM3238355	HOP-62	topotecan	Lung	10	24
GSM3238353	HOP-62	topotecan	Lung	1000	2
GSM3238354	HOP-62	topotecan	Lung	1000	6
GSM3238352	HOP-62	topotecan	Lung	1000	24
GSM3238877	HOP-62	vorinostat	Lung	0	2
GSM3238878	HOP-62	vorinostat	Lung	0	6
GSM3238876	HOP-62	vorinostat	Lung	0	24
GSM3238880	HOP-62	vorinostat	Lung	1000	2
GSM3238881	HOP-62	vorinostat	Lung	1000	6
GSM3238879	HOP-62	vorinostat	Lung	1000	24
GSM3238883	HOP-62	vorinostat	Lung	5000	2
GSM3238884	HOP-62	vorinostat	Lung	5000	6
GSM3238882	HOP-62	vorinostat	Lung	5000	24
GSM3232219	HOP-92	bortezomib	Lung	0	2
GSM3232220	HOP-92	bortezomib	Lung	0	6
GSM3232218	HOP-92	bortezomib	Lung	0	24
GSM3232225	HOP-92	bortezomib	Lung	10	2
GSM3232226	HOP-92	bortezomib	Lung	10	6
GSM3232224	HOP-92	bortezomib	Lung	10	24
GSM3232222	HOP-92	bortezomib	Lung	100	2
GSM3232223	HOP-92	bortezomib	Lung	100	6
GSM3232221	HOP-92	bortezomib	Lung	100	24
GSM3232728	HOP-92	cisplatin	Lung	0	2
GSM3232729	HOP-92	cisplatin	Lung	0	6
GSM3232727	HOP-92	cisplatin	Lung	0	24
GSM3232734	HOP-92	cisplatin	Lung	3000	2
GSM3232735	HOP-92	cisplatin	Lung	3000	6
GSM3232733	HOP-92	cisplatin	Lung	3000	24
GSM3232731	HOP-92	cisplatin	Lung	15000	2
GSM3232732	HOP-92	cisplatin	Lung	15000	6
GSM3232730	HOP-92	cisplatin	Lung	15000	24
GSM3233236	HOP-92	dasatinib	Lung	0	2
GSM3233237	HOP-92	dasatinib	Lung	0	6
GSM3233235	HOP-92	dasatinib	Lung	0	24
GSM3233239	HOP-92	dasatinib	Lung	100	2
GSM3233240	HOP-92	dasatinib	Lung	100	6
GSM3233238	HOP-92	dasatinib	Lung	100	24
GSM3233242	HOP-92	dasatinib	Lung	2000	2
GSM3233243	HOP-92	dasatinib	Lung	2000	6
GSM3233241	HOP-92	dasatinib	Lung	2000	24
GSM3234771	HOP-92	geldanamycin	Lung	0	2
GSM3234772	HOP-92	geldanamycin	Lung	0	6
GSM3234770	HOP-92	geldanamycin	Lung	0	24
GSM3234777	HOP-92	geldanamycin	Lung	100	2
GSM3234778	HOP-92	geldanamycin	Lung	100	6
GSM3234776	HOP-92	geldanamycin	Lung	100	24
GSM3234774	HOP-92	geldanamycin	Lung	1000	2
GSM3234775	HOP-92	geldanamycin	Lung	1000	6
GSM3234773	HOP-92	geldanamycin	Lung	1000	24
GSM3235278	HOP-92	gemcitibine	Lung	0	2
GSM3235279	HOP-92	gemcitibine	Lung	0	6
GSM3235277	HOP-92	gemcitibine	Lung	0	24
GSM3235284	HOP-92	gemcitibine	Lung	200	2
GSM3235285	HOP-92	gemcitibine	Lung	200	6
GSM3235283	HOP-92	gemcitibine	Lung	200	24
GSM3235281	HOP-92	gemcitibine	Lung	2000	2
GSM3235282	HOP-92	gemcitibine	Lung	2000	6
GSM3235280	HOP-92	gemcitibine	Lung	2000	24
GSM3235765	HOP-92	lapatinib	Lung	0	2
GSM3235766	HOP-92	lapatinib	Lung	0	6
GSM3235764	HOP-92	lapatinib	Lung	0	24
GSM3235771	HOP-92	lapatinib	Lung	1000	2
GSM3235772	HOP-92	lapatinib	Lung	1000	6
GSM3235770	HOP-92	lapatinib	Lung	1000	24
GSM3235768	HOP-92	lapatinib	Lung	10000	2
GSM3235769	HOP-92	lapatinib	Lung	10000	6
GSM3235767	HOP-92	lapatinib	Lung	10000	24
GSM3236272	HOP-92	paclitaxel	Lung	0	2
GSM3236273	HOP-92	paclitaxel	Lung	0	6
GSM3236271	HOP-92	paclitaxel	Lung	0	24
GSM3236278	HOP-92	paclitaxel	Lung	10	2
GSM3236279	HOP-92	paclitaxel	Lung	10	6
GSM3236277	HOP-92	paclitaxel	Lung	10	24
GSM3236275	HOP-92	paclitaxel	Lung	100	2
GSM3236276	HOP-92	paclitaxel	Lung	100	6
GSM3236274	HOP-92	paclitaxel	Lung	100	24
GSM3236807	HOP-92	sirolimus	Lung	0	2
GSM3236808	HOP-92	sirolimus	Lung	0	6
GSM3236806	HOP-92	sirolimus	Lung	0	24
GSM3236813	HOP-92	sirolimus	Lung	10	2
GSM3236814	HOP-92	sirolimus	Lung	10	6
GSM3236812	HOP-92	sirolimus	Lung	10	24
GSM3236810	HOP-92	sirolimus	Lung	100	2
GSM3236811	HOP-92	sirolimus	Lung	100	6
GSM3236809	HOP-92	sirolimus	Lung	100	24
GSM3238359	HOP-92	topotecan	Lung	0	2
GSM3238360	HOP-92	topotecan	Lung	0	6
GSM3238358	HOP-92	topotecan	Lung	0	24
GSM3238365	HOP-92	topotecan	Lung	10	2
GSM3238366	HOP-92	topotecan	Lung	10	6
GSM3238364	HOP-92	topotecan	Lung	10	24
GSM3238362	HOP-92	topotecan	Lung	1000	2
GSM3238363	HOP-92	topotecan	Lung	1000	6
GSM3238361	HOP-92	topotecan	Lung	1000	24
GSM3231753	HS-578T	5-Azacytidine	Breast	0	2
GSM3231754	HS-578T	5-Azacytidine	Breast	0	6
GSM3231752	HS-578T	5-Azacytidine	Breast	0	24
GSM3231756	HS-578T	5-Azacytidine	Breast	1000	2
GSM3231757	HS-578T	5-Azacytidine	Breast	1000	6
GSM3231755	HS-578T	5-Azacytidine	Breast	1000	24
GSM3231759	HS-578T	5-Azacytidine	Breast	5000	2
GSM3231760	HS-578T	5-Azacytidine	Breast	5000	6
GSM3231758	HS-578T	5-Azacytidine	Breast	5000	24
GSM3232228	HS-578T	bortezomib	Breast	0	2
GSM3232229	HS-578T	bortezomib	Breast	0	6
GSM3232227	HS-578T	bortezomib	Breast	0	24
GSM3232234	HS-578T	bortezomib	Breast	10	2
GSM3232235	HS-578T	bortezomib	Breast	10	6
GSM3232233	HS-578T	bortezomib	Breast	10	24
GSM3232231	HS-578T	bortezomib	Breast	100	2
GSM3232232	HS-578T	bortezomib	Breast	100	6
GSM3232230	HS-578T	bortezomib	Breast	100	24
GSM3233741	HS-578T	doxorubicin	Breast	0	2
GSM3233742	HS-578T	doxorubicin	Breast	0	6
GSM3233740	HS-578T	doxorubicin	Breast	0	24
GSM3233747	HS-578T	doxorubicin	Breast	100	2
GSM3233748	HS-578T	doxorubicin	Breast	100	6
GSM3233746	HS-578T	doxorubicin	Breast	100	24
GSM3233744	HS-578T	doxorubicin	Breast	1000	2
GSM3233745	HS-578T	doxorubicin	Breast	1000	6
GSM3233743	HS-578T	doxorubicin	Breast	1000	24
GSM3234780	HS-578T	geldanamycin	Breast	0	2
GSM3234781	HS-578T	geldanamycin	Breast	0	6
GSM3234779	HS-578T	geldanamycin	Breast	0	24
GSM3234786	HS-578T	geldanamycin	Breast	100	2
GSM3234787	HS-578T	geldanamycin	Breast	100	6
GSM3234785	HS-578T	geldanamycin	Breast	100	24
GSM3234783	HS-578T	geldanamycin	Breast	1000	2
GSM3234784	HS-578T	geldanamycin	Breast	1000	6
GSM3234782	HS-578T	geldanamycin	Breast	1000	24
GSM3236281	HS-578T	paclitaxel	Breast	0	2
GSM3236282	HS-578T	paclitaxel	Breast	0	6
GSM3236280	HS-578T	paclitaxel	Breast	0	24
GSM3236287	HS-578T	paclitaxel	Breast	10	2
GSM3236288	HS-578T	paclitaxel	Breast	10	6
GSM3236286	HS-578T	paclitaxel	Breast	10	24
GSM3236284	HS-578T	paclitaxel	Breast	100	2
GSM3236285	HS-578T	paclitaxel	Breast	100	6
GSM3236283	HS-578T	paclitaxel	Breast	100	24
GSM3237326	HS-578T	sorafenib	Breast	0	2
GSM3237327	HS-578T	sorafenib	Breast	0	6
GSM3237325	HS-578T	sorafenib	Breast	0	24
GSM3237332	HS-578T	sorafenib	Breast	5000	2
GSM3237333	HS-578T	sorafenib	Breast	5000	6
GSM3237331	HS-578T	sorafenib	Breast	5000	24
GSM3237329	HS-578T	sorafenib	Breast	10000	2
GSM3237330	HS-578T	sorafenib	Breast	10000	6
GSM3237328	HS-578T	sorafenib	Breast	10000	24
GSM3237847	HS-578T	sunitinib	Breast	0	2
GSM3237848	HS-578T	sunitinib	Breast	0	6
GSM3237846	HS-578T	sunitinib	Breast	0	24
GSM3237853	HS-578T	sunitinib	Breast	200	2
GSM3237854	HS-578T	sunitinib	Breast	200	6
GSM3237852	HS-578T	sunitinib	Breast	200	24
GSM3237850	HS-578T	sunitinib	Breast	2000	2
GSM3237851	HS-578T	sunitinib	Breast	2000	6
GSM3237849	HS-578T	sunitinib	Breast	2000	24
GSM3238368	HS-578T	topotecan	Breast	0	2
GSM3238369	HS-578T	topotecan	Breast	0	6
GSM3238367	HS-578T	topotecan	Breast	0	24
GSM3238374	HS-578T	topotecan	Breast	10	2
GSM3238375	HS-578T	topotecan	Breast	10	6
GSM3238373	HS-578T	topotecan	Breast	10	24
GSM3238371	HS-578T	topotecan	Breast	1000	2
GSM3238372	HS-578T	topotecan	Breast	1000	6
GSM3238370	HS-578T	topotecan	Breast	1000	24
GSM3232238	HT29	bortezomib	Colon	0	2
GSM3232239	HT29	bortezomib	Colon	0	6
GSM3232237	HT29	bortezomib	Colon	0	24
GSM3232243	HT29	bortezomib	Colon	10	2
GSM3232244	HT29	bortezomib	Colon	10	6
GSM3232242	HT29	bortezomib	Colon	10	24
GSM3232236	HT29	bortezomib	Colon	100	2
GSM3232241	HT29	bortezomib	Colon	100	6
GSM3232240	HT29	bortezomib	Colon	100	24
GSM3232746	HT29	cisplatin	Colon	0	2
GSM3232747	HT29	cisplatin	Colon	0	6
GSM3232745	HT29	cisplatin	Colon	0	24
GSM3232752	HT29	cisplatin	Colon	3000	2
GSM3232753	HT29	cisplatin	Colon	3000	6
GSM3232751	HT29	cisplatin	Colon	3000	24
GSM3232749	HT29	cisplatin	Colon	15000	2
GSM3232750	HT29	cisplatin	Colon	15000	6
GSM3232748	HT29	cisplatin	Colon	15000	24
GSM3233750	HT29	doxorubicin	Colon	0	2
GSM3233751	HT29	doxorubicin	Colon	0	6
GSM3233749	HT29	doxorubicin	Colon	0	24
GSM3233756	HT29	doxorubicin	Colon	100	2
GSM3233757	HT29	doxorubicin	Colon	100	6
GSM3233755	HT29	doxorubicin	Colon	100	24
GSM3233753	HT29	doxorubicin	Colon	1000	2
GSM3233754	HT29	doxorubicin	Colon	1000	6
GSM3233752	HT29	doxorubicin	Colon	1000	24
GSM3234272	HT29	erlotinib	Colon	0	2
GSM3234273	HT29	erlotinib	Colon	0	6
GSM3234271	HT29	erlotinib	Colon	0	24
GSM3234278	HT29	erlotinib	Colon	1000	2
GSM3234279	HT29	erlotinib	Colon	1000	6
GSM3234277	HT29	erlotinib	Colon	1000	24
GSM3234275	HT29	erlotinib	Colon	10000	2
GSM3234276	HT29	erlotinib	Colon	10000	6
GSM3234274	HT29	erlotinib	Colon	10000	24
GSM3236290	HT29	paclitaxel	Colon	0	2
GSM3236291	HT29	paclitaxel	Colon	0	6
GSM3236289	HT29	paclitaxel	Colon	0	24
GSM3236296	HT29	paclitaxel	Colon	10	2
GSM3236297	HT29	paclitaxel	Colon	10	6
GSM3236295	HT29	paclitaxel	Colon	10	24
GSM3236293	HT29	paclitaxel	Colon	100	2
GSM3236294	HT29	paclitaxel	Colon	100	6
GSM3236292	HT29	paclitaxel	Colon	100	24
GSM3236821	HT29	sirolimus	Colon	0	2
GSM3236822	HT29	sirolimus	Colon	0	6
GSM3236820	HT29	sirolimus	Colon	0	24
GSM3236827	HT29	sirolimus	Colon	10	2
GSM3236828	HT29	sirolimus	Colon	10	6
GSM3236826	HT29	sirolimus	Colon	10	24
GSM3236824	HT29	sirolimus	Colon	100	2
GSM3236825	HT29	sirolimus	Colon	100	6
GSM3236823	HT29	sirolimus	Colon	100	24
GSM3237335	HT29	sorafenib	Colon	0	2
GSM3237336	HT29	sorafenib	Colon	0	6
GSM3237334	HT29	sorafenib	Colon	0	24
GSM3237341	HT29	sorafenib	Colon	5000	2
GSM3237342	HT29	sorafenib	Colon	5000	6
GSM3237340	HT29	sorafenib	Colon	5000	24
GSM3237338	HT29	sorafenib	Colon	10000	2
GSM3237339	HT29	sorafenib	Colon	10000	6
GSM3237337	HT29	sorafenib	Colon	10000	24
GSM3237856	HT29	sunitinib	Colon	0	2
GSM3237857	HT29	sunitinib	Colon	0	6
GSM3237855	HT29	sunitinib	Colon	0	24
GSM3237862	HT29	sunitinib	Colon	200	2
GSM3237863	HT29	sunitinib	Colon	200	6
GSM3237861	HT29	sunitinib	Colon	200	24
GSM3237859	HT29	sunitinib	Colon	2000	2
GSM3237860	HT29	sunitinib	Colon	2000	6
GSM3237858	HT29	sunitinib	Colon	2000	24
GSM3238377	HT29	topotecan	Colon	0	2
GSM3238378	HT29	topotecan	Colon	0	6
GSM3238376	HT29	topotecan	Colon	0	24
GSM3238383	HT29	topotecan	Colon	10	2
GSM3238384	HT29	topotecan	Colon	10	6
GSM3238382	HT29	topotecan	Colon	10	24
GSM3238380	HT29	topotecan	Colon	1000	2
GSM3238381	HT29	topotecan	Colon	1000	6
GSM3238379	HT29	topotecan	Colon	1000	24
GSM3238904	HT29	vorinostat	Colon	0	2
GSM3238905	HT29	vorinostat	Colon	0	6
GSM3238903	HT29	vorinostat	Colon	0	24
GSM3238907	HT29	vorinostat	Colon	1000	2
GSM3238908	HT29	vorinostat	Colon	1000	6
GSM3238906	HT29	vorinostat	Colon	1000	24
GSM3238910	HT29	vorinostat	Colon	5000	2
GSM3238911	HT29	vorinostat	Colon	5000	6
GSM3238909	HT29	vorinostat	Colon	5000	24
GSM3232755	IGR-OV1	cisplatin	Ovarian	0	2
GSM3232756	IGR-OV1	cisplatin	Ovarian	0	6
GSM3232754	IGR-OV1	cisplatin	Ovarian	0	24
GSM3232761	IGR-OV1	cisplatin	Ovarian	3000	2
GSM3232762	IGR-OV1	cisplatin	Ovarian	3000	6
GSM3232760	IGR-OV1	cisplatin	Ovarian	3000	24
GSM3232758	IGR-OV1	cisplatin	Ovarian	15000	2
GSM3232759	IGR-OV1	cisplatin	Ovarian	15000	6
GSM3232757	IGR-OV1	cisplatin	Ovarian	15000	24
GSM3236299	IGR-OV1	paclitaxel	Ovarian	0	2
GSM3236300	IGR-OV1	paclitaxel	Ovarian	0	6
GSM3236298	IGR-OV1	paclitaxel	Ovarian	0	24
GSM3236305	IGR-OV1	paclitaxel	Ovarian	10	2
GSM3236306	IGR-OV1	paclitaxel	Ovarian	10	6
GSM3236304	IGR-OV1	paclitaxel	Ovarian	10	24
GSM3236302	IGR-OV1	paclitaxel	Ovarian	100	2
GSM3236303	IGR-OV1	paclitaxel	Ovarian	100	6
GSM3236301	IGR-OV1	paclitaxel	Ovarian	100	24
GSM3238386	IGR-OV1	topotecan	Ovarian	0	2
GSM3238387	IGR-OV1	topotecan	Ovarian	0	6
GSM3238385	IGR-OV1	topotecan	Ovarian	0	24
GSM3238392	IGR-OV1	topotecan	Ovarian	10	2
GSM3238393	IGR-OV1	topotecan	Ovarian	10	6
GSM3238391	IGR-OV1	topotecan	Ovarian	10	24
GSM3238389	IGR-OV1	topotecan	Ovarian	1000	2
GSM3238390	IGR-OV1	topotecan	Ovarian	1000	6
GSM3238388	IGR-OV1	topotecan	Ovarian	1000	24
GSM3238913	IGR-OV1	vorinostat	Ovarian	0	2
GSM3238914	IGR-OV1	vorinostat	Ovarian	0	6
GSM3238912	IGR-OV1	vorinostat	Ovarian	0	24
GSM3238916	IGR-OV1	vorinostat	Ovarian	1000	2
GSM3238917	IGR-OV1	vorinostat	Ovarian	1000	6
GSM3238915	IGR-OV1	vorinostat	Ovarian	1000	24
GSM3238919	IGR-OV1	vorinostat	Ovarian	5000	2
GSM3238920	IGR-OV1	vorinostat	Ovarian	5000	6
GSM3238918	IGR-OV1	vorinostat	Ovarian	5000	24
GSM3231778	K-562	5-Azacytidine	Leukemia	0	2
GSM3231779	K-562	5-Azacytidine	Leukemia	0	6
GSM3231777	K-562	5-Azacytidine	Leukemia	0	24
GSM3231781	K-562	5-Azacytidine	Leukemia	1000	2
GSM3231782	K-562	5-Azacytidine	Leukemia	1000	6
GSM3231780	K-562	5-Azacytidine	Leukemia	1000	24
GSM3231784	K-562	5-Azacytidine	Leukemia	5000	2
GSM3231785	K-562	5-Azacytidine	Leukemia	5000	6
GSM3231783	K-562	5-Azacytidine	Leukemia	5000	24
GSM3234290	K-562	erlotinib	Leukemia	0	2
GSM3234291	K-562	erlotinib	Leukemia	0	6
GSM3234289	K-562	erlotinib	Leukemia	0	24
GSM3234296	K-562	erlotinib	Leukemia	1000	2
GSM3234297	K-562	erlotinib	Leukemia	1000	6
GSM3234295	K-562	erlotinib	Leukemia	1000	24
GSM3234293	K-562	erlotinib	Leukemia	10000	2
GSM3234294	K-562	erlotinib	Leukemia	10000	6
GSM3234292	K-562	erlotinib	Leukemia	10000	24
GSM3235305	K-562	gemcitibine	Leukemia	0	2
GSM3235306	K-562	gemcitibine	Leukemia	0	6
GSM3235304	K-562	gemcitibine	Leukemia	0	24
GSM3235311	K-562	gemcitibine	Leukemia	200	2
GSM3235312	K-562	gemcitibine	Leukemia	200	6
GSM3235310	K-562	gemcitibine	Leukemia	200	24
GSM3235308	K-562	gemcitibine	Leukemia	2000	2
GSM3235309	K-562	gemcitibine	Leukemia	2000	6
GSM3235307	K-562	gemcitibine	Leukemia	2000	24
GSM3236308	K-562	paclitaxel	Leukemia	0	2
GSM3236309	K-562	paclitaxel	Leukemia	0	6
GSM3236307	K-562	paclitaxel	Leukemia	0	24
GSM3236314	K-562	paclitaxel	Leukemia	10	2
GSM3236315	K-562	paclitaxel	Leukemia	10	6
GSM3236313	K-562	paclitaxel	Leukemia	10	24
GSM3236311	K-562	paclitaxel	Leukemia	100	2
GSM3236312	K-562	paclitaxel	Leukemia	100	6
GSM3236310	K-562	paclitaxel	Leukemia	100	24
GSM3236846	K-562	sirolimus	Leukemia	0	2
GSM3236839	K-562	sirolimus	Leukemia	0	6
GSM3236838	K-562	sirolimus	Leukemia	0	24
GSM3236844	K-562	sirolimus	Leukemia	10	2
GSM3236845	K-562	sirolimus	Leukemia	10	6
GSM3236843	K-562	sirolimus	Leukemia	10	24
GSM3236841	K-562	sirolimus	Leukemia	100	2
GSM3236842	K-562	sirolimus	Leukemia	100	6
GSM3236840	K-562	sirolimus	Leukemia	100	24
GSM3238922	K-562	vorinostat	Leukemia	0	2
GSM3238923	K-562	vorinostat	Leukemia	0	6
GSM3238921	K-562	vorinostat	Leukemia	0	24
GSM3238925	K-562	vorinostat	Leukemia	1000	2
GSM3238926	K-562	vorinostat	Leukemia	1000	6
GSM3238924	K-562	vorinostat	Leukemia	1000	24
GSM3238928	K-562	vorinostat	Leukemia	5000	2
GSM3238929	K-562	vorinostat	Leukemia	5000	6
GSM3238927	K-562	vorinostat	Leukemia	5000	24
GSM3232773	KM12	cisplatin	Colon	0	2
GSM3232774	KM12	cisplatin	Colon	0	6
GSM3232772	KM12	cisplatin	Colon	0	24
GSM3232779	KM12	cisplatin	Colon	3000	2
GSM3232780	KM12	cisplatin	Colon	3000	6
GSM3232778	KM12	cisplatin	Colon	3000	24
GSM3232776	KM12	cisplatin	Colon	15000	2
GSM3232777	KM12	cisplatin	Colon	15000	6
GSM3232775	KM12	cisplatin	Colon	15000	24
GSM3234299	KM12	erlotinib	Colon	0	2
GSM3234300	KM12	erlotinib	Colon	0	6
GSM3234298	KM12	erlotinib	Colon	0	24
GSM3234305	KM12	erlotinib	Colon	1000	2
GSM3234306	KM12	erlotinib	Colon	1000	6
GSM3234304	KM12	erlotinib	Colon	1000	24
GSM3234302	KM12	erlotinib	Colon	10000	2
GSM3234303	KM12	erlotinib	Colon	10000	6
GSM3234301	KM12	erlotinib	Colon	10000	24
GSM3238931	KM12	vorinostat	Colon	0	2
GSM3238932	KM12	vorinostat	Colon	0	6
GSM3238930	KM12	vorinostat	Colon	0	24
GSM3238934	KM12	vorinostat	Colon	1000	2
GSM3238935	KM12	vorinostat	Colon	1000	6
GSM3238933	KM12	vorinostat	Colon	1000	24
GSM3238937	KM12	vorinostat	Colon	5000	2
GSM3238938	KM12	vorinostat	Colon	5000	6
GSM3238936	KM12	vorinostat	Colon	5000	24
GSM3232271	LOX	bortezomib	Melanoma	0	2
GSM3232272	LOX	bortezomib	Melanoma	0	6
GSM3232270	LOX	bortezomib	Melanoma	0	24
GSM3232277	LOX	bortezomib	Melanoma	10	2
GSM3232278	LOX	bortezomib	Melanoma	10	6
GSM3232276	LOX	bortezomib	Melanoma	10	24
GSM3232274	LOX	bortezomib	Melanoma	100	2
GSM3232275	LOX	bortezomib	Melanoma	100	6
GSM3232273	LOX	bortezomib	Melanoma	100	24
GSM3233287	LOX	dasatinib	Melanoma	0	2
GSM3233288	LOX	dasatinib	Melanoma	0	6
GSM3233286	LOX	dasatinib	Melanoma	0	24
GSM3233290	LOX	dasatinib	Melanoma	100	2
GSM3233291	LOX	dasatinib	Melanoma	100	6
GSM3233289	LOX	dasatinib	Melanoma	100	24
GSM3233293	LOX	dasatinib	Melanoma	2000	2
GSM3233294	LOX	dasatinib	Melanoma	2000	6
GSM3233292	LOX	dasatinib	Melanoma	2000	24
GSM3233785	LOX	doxorubicin	Melanoma	0	2
GSM3233786	LOX	doxorubicin	Melanoma	0	6
GSM3233784	LOX	doxorubicin	Melanoma	0	24
GSM3233791	LOX	doxorubicin	Melanoma	100	2
GSM3233792	LOX	doxorubicin	Melanoma	100	6
GSM3233790	LOX	doxorubicin	Melanoma	100	24
GSM3233788	LOX	doxorubicin	Melanoma	1000	2
GSM3233789	LOX	doxorubicin	Melanoma	1000	6
GSM3233787	LOX	doxorubicin	Melanoma	1000	24
GSM3234821	LOX	geldanamycin	Melanoma	0	2
GSM3234822	LOX	geldanamycin	Melanoma	0	6
GSM3234820	LOX	geldanamycin	Melanoma	0	24
GSM3234827	LOX	geldanamycin	Melanoma	100	2
GSM3234828	LOX	geldanamycin	Melanoma	100	6
GSM3234826	LOX	geldanamycin	Melanoma	100	24
GSM3234824	LOX	geldanamycin	Melanoma	1000	2
GSM3234825	LOX	geldanamycin	Melanoma	1000	6
GSM3234823	LOX	geldanamycin	Melanoma	1000	24
GSM3236326	LOX	paclitaxel	Melanoma	0	2
GSM3236327	LOX	paclitaxel	Melanoma	0	6
GSM3236325	LOX	paclitaxel	Melanoma	0	24
GSM3236332	LOX	paclitaxel	Melanoma	10	2
GSM3236333	LOX	paclitaxel	Melanoma	10	6
GSM3236331	LOX	paclitaxel	Melanoma	10	24
GSM3236329	LOX	paclitaxel	Melanoma	100	2
GSM3236330	LOX	paclitaxel	Melanoma	100	6
GSM3236328	LOX	paclitaxel	Melanoma	100	24
GSM3236857	LOX	sirolimus	Melanoma	0	2
GSM3236858	LOX	sirolimus	Melanoma	0	6
GSM3236856	LOX	sirolimus	Melanoma	0	24
GSM3236863	LOX	sirolimus	Melanoma	10	2
GSM3236864	LOX	sirolimus	Melanoma	10	6
GSM3236862	LOX	sirolimus	Melanoma	10	24
GSM3236860	LOX	sirolimus	Melanoma	100	2
GSM3236861	LOX	sirolimus	Melanoma	100	6
GSM3236859	LOX	sirolimus	Melanoma	100	24
GSM3237371	LOX	sorafenib	Melanoma	0	2
GSM3237372	LOX	sorafenib	Melanoma	0	6
GSM3237370	LOX	sorafenib	Melanoma	0	24
GSM3237377	LOX	sorafenib	Melanoma	5000	2
GSM3237378	LOX	sorafenib	Melanoma	5000	6
GSM3237376	LOX	sorafenib	Melanoma	5000	24
GSM3237374	LOX	sorafenib	Melanoma	10000	2
GSM3237375	LOX	sorafenib	Melanoma	10000	6
GSM3237373	LOX	sorafenib	Melanoma	10000	24
GSM3237891	LOX	sunitinib	Melanoma	0	2
GSM3237892	LOX	sunitinib	Melanoma	0	6
GSM3237890	LOX	sunitinib	Melanoma	0	24
GSM3237897	LOX	sunitinib	Melanoma	200	2
GSM3237898	LOX	sunitinib	Melanoma	200	6
GSM3237896	LOX	sunitinib	Melanoma	200	24
GSM3237894	LOX	sunitinib	Melanoma	2000	2
GSM3237895	LOX	sunitinib	Melanoma	2000	6
GSM3237893	LOX	sunitinib	Melanoma	2000	24
GSM3238408	LOX	topotecan	Melanoma	0	2
GSM3238409	LOX	topotecan	Melanoma	0	6
GSM3238407	LOX	topotecan	Melanoma	0	24
GSM3238414	LOX	topotecan	Melanoma	10	2
GSM3238415	LOX	topotecan	Melanoma	10	6
GSM3238413	LOX	topotecan	Melanoma	10	24
GSM3238411	LOX	topotecan	Melanoma	1000	2
GSM3238412	LOX	topotecan	Melanoma	1000	6
GSM3238410	LOX	topotecan	Melanoma	1000	24
GSM3238940	LOX	vorinostat	Melanoma	0	2
GSM3238941	LOX	vorinostat	Melanoma	0	6
GSM3238939	LOX	vorinostat	Melanoma	0	24
GSM3238943	LOX	vorinostat	Melanoma	1000	2
GSM3238944	LOX	vorinostat	Melanoma	1000	6
GSM3238942	LOX	vorinostat	Melanoma	1000	24
GSM3238946	LOX	vorinostat	Melanoma	5000	2
GSM3238947	LOX	vorinostat	Melanoma	5000	6
GSM3238945	LOX	vorinostat	Melanoma	5000	24
GSM3231803	M14	5-Azacytidine	Melanoma	0	2
GSM3231804	M14	5-Azacytidine	Melanoma	0	6
GSM3231802	M14	5-Azacytidine	Melanoma	0	24
GSM3231806	M14	5-Azacytidine	Melanoma	1000	2
GSM3231807	M14	5-Azacytidine	Melanoma	1000	6
GSM3231805	M14	5-Azacytidine	Melanoma	1000	24
GSM3231809	M14	5-Azacytidine	Melanoma	5000	2
GSM3231810	M14	5-Azacytidine	Melanoma	5000	6
GSM3231808	M14	5-Azacytidine	Melanoma	5000	24
GSM3233794	M14	doxorubicin	Melanoma	0	2
GSM3233795	M14	doxorubicin	Melanoma	0	6
GSM3233793	M14	doxorubicin	Melanoma	0	24
GSM3233800	M14	doxorubicin	Melanoma	100	2
GSM3233801	M14	doxorubicin	Melanoma	100	6
GSM3233799	M14	doxorubicin	Melanoma	100	24
GSM3233797	M14	doxorubicin	Melanoma	1000	2
GSM3233798	M14	doxorubicin	Melanoma	1000	6
GSM3233796	M14	doxorubicin	Melanoma	1000	24
GSM3234830	M14	geldanamycin	Melanoma	0	2
GSM3234831	M14	geldanamycin	Melanoma	0	6
GSM3234829	M14	geldanamycin	Melanoma	0	24
GSM3234836	M14	geldanamycin	Melanoma	100	2
GSM3234837	M14	geldanamycin	Melanoma	100	6
GSM3234835	M14	geldanamycin	Melanoma	100	24
GSM3234833	M14	geldanamycin	Melanoma	1000	2
GSM3234834	M14	geldanamycin	Melanoma	1000	6
GSM3234832	M14	geldanamycin	Melanoma	1000	24
GSM3235809	M14	lapatinib	Melanoma	0	2
GSM3235810	M14	lapatinib	Melanoma	0	6
GSM3235808	M14	lapatinib	Melanoma	0	24
GSM3235815	M14	lapatinib	Melanoma	1000	2
GSM3235816	M14	lapatinib	Melanoma	1000	6
GSM3235814	M14	lapatinib	Melanoma	1000	24
GSM3235812	M14	lapatinib	Melanoma	10000	2
GSM3235813	M14	lapatinib	Melanoma	10000	6
GSM3235811	M14	lapatinib	Melanoma	10000	24
GSM3236866	M14	sirolimus	Melanoma	0	2
GSM3236867	M14	sirolimus	Melanoma	0	6
GSM3236865	M14	sirolimus	Melanoma	0	24
GSM3236872	M14	sirolimus	Melanoma	10	2
